,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_vf_coef,state
0,0,,2023-12-18 05:56:01.548580,2023-12-18 06:09:38.549584,0 days 00:13:37.001004,tanh,32,0.4,1.1805840562584426e-05,0.9,0.9,0.14901600477975452,0.9,20,256,medium,0.5292259111653556,PRUNED
1,1,-52.04284,2023-12-18 05:56:01.549253,2023-12-18 07:53:19.738646,0 days 01:57:18.189393,tanh,256,0.4,3.589539442430369e-08,0.99,0.98,0.0548809683691711,0.9,10,2048,medium,0.08626957243146616,COMPLETE
2,2,260.6151694,2023-12-18 06:09:38.550427,2023-12-18 07:08:33.141401,0 days 00:58:54.590974,relu,256,0.4,6.65084295090084e-07,0.9,0.9999,2.615850711756847e-05,0.3,1,256,medium,0.3524120080266073,COMPLETE
3,3,,2023-12-18 07:08:33.144601,2023-12-18 07:08:47.768501,0 days 00:00:14.623900,tanh,16,0.3,0.0036692923125211468,0.9,0.995,0.7305898145991998,0.6,5,256,tiny,0.5705081186947865,PRUNED
4,4,-164.78340640000002,2023-12-18 07:08:47.769324,2023-12-18 10:37:32.189039,0 days 03:28:44.419715,relu,128,0.3,0.0026135803600990685,0.98,0.95,0.016641746002677156,0.3,20,2048,tiny,0.9478758436223048,COMPLETE
5,5,271.3251456,2023-12-18 07:53:19.739729,2023-12-18 09:23:54.601285,0 days 01:30:34.861556,tanh,512,0.2,4.707495238971957e-05,0.99,0.99,0.0005609185351753503,2.0,20,512,medium,0.755245290642427,COMPLETE
6,6,236.755916,2023-12-18 09:23:54.602346,2023-12-18 11:22:26.250916,0 days 01:58:31.648570,relu,256,0.2,0.019065723182869074,0.98,0.98,1.9056725529225303e-05,1.0,1,8,medium,0.6120544367753643,COMPLETE
7,7,,2023-12-18 10:37:32.189981,,,tanh,8,0.4,3.2339904980442582e-06,0.9,0.999,3.6234609708667735e-05,0.3,5,128,tiny,0.5491568211321937,RUNNING
8,8,-81.8785818,2023-12-18 11:22:26.252043,2023-12-18 15:01:49.998202,0 days 03:39:23.746159,relu,16,0.3,2.71937602068277e-08,0.92,0.9,9.167526673001732e-05,0.6,5,1024,tiny,0.4568729356789666,COMPLETE
9,9,262.93541,2023-12-18 15:01:49.999284,2023-12-18 17:11:48.674784,0 days 02:09:58.675500,relu,128,0.3,7.811305085753262e-07,0.8,0.999,4.388943859493334e-05,0.7,10,64,small,0.9248474849698476,COMPLETE
10,10,,2023-12-18 17:11:48.675738,,,tanh,512,0.1,7.341132458737016e-08,0.92,0.9999,0.007728031087018558,5.0,10,1024,medium,0.8375618480152937,RUNNING
